class_name,precision,recall,f1-score,support
basketball,0.8541666666666666,0.9761904761904762,0.9111111111111111,42.0
biking,0.9772727272727273,1.0,0.9885057471264368,43.0
diving,1.0,0.972972972972973,0.9863013698630136,37.0
golf_swing,0.9512195121951219,0.9512195121951219,0.9512195121951219,41.0
horse_riding,1.0,0.9655172413793104,0.9824561403508771,58.0
soccer_juggling,0.9743589743589743,0.9743589743589743,0.9743589743589743,39.0
swing,0.96875,1.0,0.9841269841269841,31.0
tennis_swing,1.0,0.7777777777777778,0.875,36.0
trampoline_jumping,1.0,1.0,1.0,27.0
volleyball_spiking,1.0,0.9583333333333334,0.9787234042553191,24.0
walking,0.8484848484848485,0.9655172413793104,0.9032258064516129,29.0
accuracy,0.9582309582309583,0.9582309582309583,0.9582309582309583,0.9582309582309583
macro avg,0.9612957026343945,0.9583534117806615,0.9577299136217683,407.0
weighted avg,0.9620025500707319,0.9582309582309583,0.9580807548293532,407.0
