class_name,label,group_folder,folder_idx,video_name,video_path,num_frames,split
basketball,0,v_shooting_01,1,v_shooting_01_01.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_01/v_shooting_01_01.mpg,106,train
basketball,0,v_shooting_01,1,v_shooting_01_02.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_01/v_shooting_01_02.mpg,138,train
basketball,0,v_shooting_01,1,v_shooting_01_03.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_01/v_shooting_01_03.mpg,147,train
basketball,0,v_shooting_01,1,v_shooting_01_04.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_01/v_shooting_01_04.mpg,99,train
basketball,0,v_shooting_01,1,v_shooting_01_05.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_01/v_shooting_01_05.mpg,139,train
basketball,0,v_shooting_01,1,v_shooting_01_06.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_01/v_shooting_01_06.mpg,177,train
basketball,0,v_shooting_01,1,v_shooting_01_07.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_01/v_shooting_01_07.mpg,205,train
basketball,0,v_shooting_02,2,v_shooting_02_01.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_02/v_shooting_02_01.mpg,111,train
basketball,0,v_shooting_02,2,v_shooting_02_02.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_02/v_shooting_02_02.mpg,79,train
basketball,0,v_shooting_02,2,v_shooting_02_03.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_02/v_shooting_02_03.mpg,143,train
basketball,0,v_shooting_02,2,v_shooting_02_04.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_02/v_shooting_02_04.mpg,123,train
basketball,0,v_shooting_02,2,v_shooting_02_05.mpg,/content/dataset/UCF11_updated_mpg/basketball/v_shooting_02/v_shooting_02_05.mpg,51,train
